Index,Salary,Salary_Type,Location,Website,Scrape Date
Accompanist,"45,340",Annually,US,Talent.com,2023-11-30
Account+Acquisition+Representative,"50,000",Annually,US,Talent.com,2023-11-30
Account+Adjuster,"41,088",Annually,US,Talent.com,2023-11-30
Account+Administration+Analyst,"58,260",Annually,US,Talent.com,2023-11-30
Account+Administrator,"45,000",Annually,US,Talent.com,2023-11-30
Account+Advocate,"50,000",Annually,US,Talent.com,2023-11-30
Account+Analyst,"60,002",Annually,US,Talent.com,2023-11-30
Account+And+Service+Manager,"60,000",Annually,US,Talent.com,2023-11-30
Account+Architect,"146,200",Annually,US,Talent.com,2023-11-30
Account+Assistant,"45,000",Annually,US,Talent.com,2023-11-30
Account+Associate,"48,228",Annually,US,Talent.com,2023-11-30
Account+Auditor,"37,440",Annually,US,Talent.com,2023-11-30
Account+Billing+Representative,"38,075",Annually,US,Talent.com,2023-11-30
Account+Checker,"24,375",Annually,US,Talent.com,2023-11-30
Account+Clerk,"40,517",Annually,US,Talent.com,2023-11-30
Account+Clerk+Typist,"39,000",Annually,US,Talent.com,2023-11-30
Account+Collector,"35,360",Annually,US,Talent.com,2023-11-30
Account+Consultant,"72,843",Annually,US,Talent.com,2023-11-30
Account+Controller,"83,750",Annually,US,Talent.com,2023-11-30
Account+Coordinator,"42,987",Annually,US,Talent.com,2023-11-30
Account+Developer,"54,000",Annually,US,Talent.com,2023-11-30
Account+Development+Executive,"82,460",Annually,US,Talent.com,2023-11-30
Account+Development+Manager,"80,060",Annually,US,Talent.com,2023-11-30
Account+Development+Representative,"62,475",Annually,US,Talent.com,2023-11-30
Account+Development+Specialist,"63,475",Annually,US,Talent.com,2023-11-30
Account+Director,"125,215",Annually,US,Talent.com,2023-11-30
Account+Executive,"80,000",Annually,US,Talent.com,2023-11-30
Account+Executive+Assistant,"48,500",Annually,US,Talent.com,2023-11-30
Account+Executive+Manager,"79,983",Annually,US,Talent.com,2023-11-30
Account+Executive+Sales+Assistant,"48,500",Annually,US,Talent.com,2023-11-30
Account+Handler,"35,000",Annually,US,Talent.com,2023-11-30
Account+Housekeeping+Supervisor,"27,300",Annually,US,Talent.com,2023-11-30
Account+Implementation+Specialist,"52,500",Annually,US,Talent.com,2023-11-30
Account+Information+Clerk,"40,062",Annually,US,Talent.com,2023-11-30
Account+Lead,"99,732",Annually,US,Talent.com,2023-11-30
Account+Leader,"100,000",Annually,US,Talent.com,2023-11-30
Account+Liaison,"62,500",Annually,US,Talent.com,2023-11-30
Account+Maintenance+Clerk,"36,626",Annually,US,Talent.com,2023-11-30
Account+Maintenance+Coordinator,"29,250",Annually,US,Talent.com,2023-11-30
